"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Chironomidae","Hydropsyche",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",13,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Chironomidae","Malenka",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka","family","family",3,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Chironomidae","Rhyacophila",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Chironomidae","Simulium",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,36.00360036,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Chironomidae","Zapada",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,54.00540054,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","exact",3,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Claassenia","Rhyacophila",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Calineuria",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","family",2,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Cheumatopsyche",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",13.50135014,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",4,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Chironomidae",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Claassenia",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","exact","family",2,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Hydropsyche",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",2,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Ephemerella","Rhyacophila",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",2,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Helodon","Calineuria",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","family",15,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
"Helodon","Cheumatopsyche",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",13.50135014,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",45,"@article{Motta_2005,	doi = {10.1111/j.1442-9993.2005.01424.x}, url = {https://doi.org/10.1111%2Fj.1442-9993.2005.01424.x}, year = 2005, month = {feb}, publisher = {Wiley}, volume = {30}, number = {1}, pages = {58--73}, author = {Rosines L. Motta and Virginia S. Uieda}, title = {Food web structure in a tropical stream ecosystem}, journal = {Austral Ecology}},Cattin Blandenier, M.-F. 2004. Food web ecology: models and application to conservation.,from Brose et al 2005 (Warren, unpublished),Goldwasser L, Roughgarden JA (1993) Construction of a large Caribbean food web. Ecology 74:1216-1233,K. Paviour-Smith, The biotic community of a salt meadow in New Zealand, Trans. R. Soc. N.Z. 83(3):525-554, from p. 542 (1956).,Lancaster, J., Bradley, D. C., Hogan, A., & Waldron, S. (2005). Intraguild omnivory in predatory stream insects. Journal of Animal Ecology, 74(4), 619�629,Motta, R.L., and Uieda, V.S. (2005). Food web structure in a tropical stream ecosystem. Austral Ecology. 30, pp. 58-73.,Mound L.A., Morison, G.D., Pitkin, B.R. & Palmer, J.M.. 1976. Thysanoptera. The Royal Entomological Society of London. Vol Vol 1, part 11. Handbooks for the Identification of British Insects. Accessed at: http://www.royensoc.co.uk/publications/index.htm,Slack, H.D. (1936) The Food of Caddis Fly (Trichoptera) Larvae. Journal of Animal Ecology, 5, 105�115.,source,Southwood, T.R.E. & Leston, D.. 1959. Land and Water Bugs of the British Isles. Frederick Warne & Co. Ltd.. 1959. Wayside & Woodland Series. Accessed at: http://www.pisces-conservation.com/,Waide RB, Reagan WB (eds) (1996) The food web of a tropical rainforest. University of Chicago Press, Chicago,Warren, unpublished",",Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 ."
